El Juicio,Lucia Saez,000000,Cuento
La Aventura,Alvaro Picazo,000001,Fabula
El Negocio,Isabel Lopez,000002,Ficcion
El Bloque,Raul Fernandez,000003,Ficcion
Thoth,Antonio Alarcon,000004,Cuento
Harmonía,Ruben Lopez,000005,Cuento
El Sapote,Alfonso Martinez,000006,Fabula
The Vagrant,Julian Romero,000007,Comic
El Coloso,Adrian Picazo,000008,Educacion
The Imp,Amparo Martinez,000009,Ilustrado
El Emperador,Angela Alarcon,000010,Comedia
El Ermitaño,Maria Molina,000011,Educacion
La Estrella,Beatriz Ortiz,000012,Ficcion
Los Sapos,Angela Torres,000013,Fabula
El Ahorcado,Jorge Torres,000014,Comedia
La máquina,Ruben Fernandez,000015,Cuento
La Verdad,Emilio Ortega,000016,Romantico
Los Enamorados,Mario Requena,000017,Cuento
Templanza,Pascual Gonzalez,000018,Cuento
Fuerza,Carlos Castillo,000019,Ilustrado
La Aventura,Juan Cano,000020,Romantico
La máquina,Elena Rubio,000021,Romantico
La Golosa,Andrea Hernandez,000022,Comedia
La Estrella,Angela Diaz,000023,Fabula
El Juicio,Angela Ortega,000024,Ilustrado
El Sapote,Maria Lopez,000025,Ilustrado
Truth,Mercedes Morcillo,000026,Comedia
Los Sapos,Andrea Rodenas,000027,Ficcion
Nejbet,Laura Cebrian,000028,Fabula
El Hierofante,Carlos Cano,000029,Comic
El Canario,Julian Jimenez,000030,Educacion
La Nuez Dulce,Alvaro Martinez,000031,Educacion
Amón,Manuel Serrano,000032,Romantico
El Milenio,Andres Arenas,000033,Romantico
Las Flores,Julian Garcia,000034,Ficcion
The Wyrm,Sergio Garrido,000035,Comic
Los Sapos,Carmen Rodriguez,000036,Ilustrado
La Luna,Santiago Cano,000037,Ilustrado
Horus,Pilar Garrido,000038,Romantico
The Wyvern,Miguel Cuenca,000039,Fabula
La Estrella,Carlos Ramirez,000040,Comic
Truth,Juana Requena,000041,Comedia
Los Lirios,Ramon Requena,000042,Cuento
Ra,Ivan Tovar,000043,Comedia
The Deliverance,Jesus Castillo,000044,Ficcion
Los Gozos,Ramon Castillo,000045,Cuento
The Warriors,Luis Rodenas,000046,Cuento
La Nuez Dulce,Santiago Moreno,000047,Romantico
Las Nueces,Pablo Alfaro,000048,Ilustrado
El Juicio,Carmen Molina,000049,Fabula
El Gozo,Mercedes Cano,000050,Ilustrado
El Canario,Sergio Moya,000051,Romantico
La Entreganza,Carlos Rubio,000052,Romantico
La Rueda de la Fortuna,Jorge Alarcon,000053,Ficcion
El Carro,Mercedes Torres,000054,Comic
La Alegría,Laura Gil,000055,Educacion
El Dulce,Alicia Cebrian,000056,Comic
Las Venus,Ana Muñoz,000057,Cuento
El Emperador,Manuela Rodenas,000058,Fabula
The Bulwark,Carlos Morcillo,000059,Romantico
Horus,Manuel Corcoles,000060,Ilustrado
The Dragon,Manuela Corcoles,000061,Fabula
The Stand,Ana Lopez,000062,Romantico
Thoth,Isabel Romero,000063,Ilustrado
Truth,Angela Marin,000064,Ilustrado
El Diablito,Mario Arenas,000065,Comedia
Ra,Cristina Garcia,000066,Ilustrado
The Stand,Alberto Rodriguez,000067,Educacion
Los Sapos,Andrea Tovar,000068,Comedia
El Ahorcado,Angel Martinez,000069,Comedia
Los Aldeanos,Vicente Ortiz,000070,Educacion
El Sapote,Raul Molina,000071,Ficcion
El Canario,Ramon Saez,000072,Comic
El Emperador,Raul Gil,000073,Fabula
Holzbau,Ana Perez,000074,Educacion
Thoth,Ivan Alfaro,000075,Romantico
The Wyvern,Carlos Garrido,000076,Fabula
Las Venus,Angela Muñoz,000077,Comedia
El Hierofante,Enrique Picazo,000078,Romantico
El Sabueso,Teresa Muñoz,000079,Fabula
Los Pinos,Pedro Corcoles,000080,Ficcion
El Bloque,Alfonso Ramirez,000081,Comic
Harmonía,Angela Diaz,000082,Ilustrado
La Alegría,Jose Pardo,000083,Fabula
The Wyrm,Marta Ortega,000084,Romantico
El Loco,Rafael Saez,000085,Ficcion
La Perseverancia,Javier Diaz,000086,Romantico
Bloques,Joaquin Gomez,000087,Ficcion
Truth,Carlos Rodriguez,000088,Ilustrado
La Verdad,Francisco Cebrian,000089,Ilustrado
El Diablo,Manuel Nuñez,000090,Ilustrado
The Deliverance,Josefa Moreno,000091,Ficcion
El Valle,Julia Alarcon,000092,Cuento
Banderines,Antonio Moreno,000093,Educacion
Las Aguas,Lucia Arenas,000094,Comic
Los Abedules,Alicia Torres,000095,Romantico
La Torre,Laura Serrano,000096,Educacion
Los Abedules,Juan Torres,000097,Educacion
Ra,Carmen Moya,000098,Fabula
Las Eugenias,Vicente Ortega,000099,Ficcion
El Dulce,Antonia Perez,000100,Fabula
El Bloque,Alejandro Cano,000101,Comic
Las Nueces,Andrea Cuenca,000102,Educacion
El Ermitaño,Alicia Picazo,000103,Ficcion
Los Helechos,Amparo Morcillo,000104,Ilustrado
Banderas,Elena Navarro,000105,Ficcion
Los Helechos,Francisca Ortiz,000106,Romantico
Las Flores,Diego Lozano,000107,Comic
Las Aguas,Angela Romero,000108,Comedia
La Verdad,Isabel Cebrian,000109,Ilustrado
La Sacerdotisa,Ruben Lozano,000110,Fabula
The March,Maria Lopez,000111,Fabula
La Verdad,Alfonso Garcia,000112,Comedia
El Dulce,Miguel Muñoz,000113,Ilustrado
El Ahorcado,Irene Calero,000114,Educacion
El Dragón,Diego Calero,000115,Fabula
El Gozo,David Romero,000116,Comedia
El Mago,Andrea Ramirez,000117,Educacion
The Warriors,Raquel Torres,000118,Romantico
La Torre,Francisco Fernandez,000119,Educacion
The Dragon,Angela Diaz,000120,Ficcion
El Tamborilero,Alejandro Molina,000121,Cuento
La Aventura,Sergio Muñoz,000122,Comic
The Deliverance,Angel Lozano,000123,Ficcion
La Perseverancia,Ana Ortega,000124,Ficcion
Nejbet,Mercedes Ballesteros,000125,Comic
La Entreganza,Francisca Cuenca,000126,Educacion
Perseverancia,Mario Moya,000127,Ficcion
El Valle,Paula Fernandez,000128,Educacion
El Goloso,Jose Rodenas,000129,Comic
La Perseverancia,Vicente Perez,000130,Educacion
El Dragón,Juan Navarro,000131,Fabula
El Coloso,Cristina Gonzalez,000132,Comedia
Los Gozos,Alejandro Ortiz,000133,Fabula
Los Abedules,Paula Ortega,000134,Comic
The Stand,Enrique Moreno,000135,Ficcion
El Bonsai,Josefa Picazo,000136,Romantico
Truth,Jesus Alarcon,000137,Fabula
Truth,Amparo Ballesteros,000138,Fabula
La Estrella,Daniel Castillo,000139,Comic
El Sabueso,Julia Ortiz,000140,Educacion
El Bloque,Juana Calero,000141,Comedia
Los Pinos,Manuela Morcillo,000142,Romantico
El Sapito,Alejandro Collado,000143,Cuento
Thoth,Juan Perez,000144,Cuento
Banderas,Adrian Saez,000145,Cuento
El Sol,Antonio Calero,000146,Comedia
Perseverancia,Rafael Nuñez,000147,Fabula
The Piranhas,Alejandro Hernandez,000148,Comic
La Emperatriz,Irene Marin,000149,Fabula
El Canario,Manuel Valero,000150,Fabula
El Emperador,Pascual Ballesteros,000151,Romantico
Templanza,Diego Calero,000152,Ficcion
Los Pastores,Manuela Lopez,000153,Ilustrado
The Bulwark,Diego Gonzalez,000154,Comedia
The March,Francisco Requena,000155,Romantico
Amón,Laura Fernandez,000156,Ficcion
Los Manglares,Miguel Requena,000157,Ficcion
