name,code,authorName,genre
Deadly Friend,1,Jory Burdytt,Comic
Brideshead Revisited,2,Quinn Posnett,Comic
Somewhere Between,3,Koralle Pirozzi,Educacion
Choose,4,Janenna Garci,Comic
Watching the Detectives,5,Sylvan Rawstron,Comic
Killer Movie,6,Fred Patman,Fabula
Solo,7,Cherrita Pina,Educacion
Ernest Goes to Jail,8,Vonny Stode,Ficcion
"Secret Six, The",9,Barbie Boyson,Comic
"Last Hangman, The (Pierrepoint)",10,Jaime Covell,Fabula
Brighton Rock,11,Evania Crockford,Educacion
French Kiss,12,Jordan Spinige,Comic
12 Rounds,13,Netti Buxey,Comic
E.T. the Extra-Terrestrial,14,Jaquenetta Losebie,Educacion
Lilting,15,Morrie Myrick,Comic
Employee of the Month,16,Hillary Ricks,Comic
"Good German, The",17,Jeniffer Riddich,Educacion
Interiors,18,Kati Pickett,Fabula
The Adventures of Tartu,19,Kerrill Chasney,Educacion
Anvil! The Story of Anvil,20,Legra Valintine,Educacion
BloodRayne: The Third Reich,21,Barnie Meeus,Educacion
"Sunset Limited, The",22,Miller Keith,Comic
Special 26,23,Lilla Dengel,Comic
Morocco,24,Birgit Preshous,Educacion
Autumn Sonata (Höstsonaten),25,Burtie Newrick,Ilustrado
Infinity,26,Bruis Liger,Educacion
"Bachelor Weekend, The",27,Nomi Larraway,Educacion
I Hired a Contract Killer,28,Cammie Bischoff,Educacion
Dr. Crippen,29,Therine Crimmins,Comedia
Nickelodeon,30,Brewer Manilow,Comic
Enemies: A Love Story,31,Nicola MacCathay,Fabula
"Emergency Escape, The (Wyjscie awaryjne)",32,Sebastien Tite,Educacion
Gerontophilia,33,Heywood Scroxton,Fabula
Who Are the DeBolts? [And Where Did They Get 19 Kids?],34,Armand Eilert,Comic
"Tall Man, The",35,Vitia Gillooly,Educacion
Tea For Two,36,Fiona Cheales,Comic
"Stockholm, Pennsylvania",37,Marje Ianni,Comic
"Rat Race, The (Garson Kanin's The Rat Race)",38,Hillie Tadgell,Comic
"Message to Garcia, A",39,Constance Dobbings,Comic
"20,000 Days on Earth",40,Xavier Cosin,Comic
Armadillo,41,Cord Rosellini,Romantico
Avenging Angelo,42,Lilllie Lezemere,Comic
Thurgood,43,Elyn Mawer,Fabula
"Monster Squad, The",44,Debbie Allam,Comic
Ro.Go.Pa.G.,45,Emilio Hoovart,Educacion
I'm All Right Jack,46,Tedmund Rowney,Comic
"Hand, The (Ruka)",47,Hollie Jaynes,Comic
Siberia,48,Pammi Moffet,Comedia
"Sing a Song of Sex (Treatise on Japanese Bawdy Songs, A) (Nihon shunka-kô)",49,Elsey Gillebert,Educacion
Someone Else's America,50,Tiff Coatman,Educacion
Somewhere in Palilula (Undeva la Palilula),51,Sharon Fryd,Comic
Alexander,52,Channa Carle,Fabula
