name,code,authorName,genre
Fetishes,NTRA,Saloma Mayberry,Documentary
"Playboys, The",STAA,Benedicta Locock,Drama|Romance
Pronto,LWAY,Marvin Kerrigan,Comedy|Crime|Thriller
Wide Awake,CBU,Clevey Simonard,Children|Comedy|Drama
Azur & Asmar (Azur et Asmar),SXC,Torrey Thunnercliff,Adventure|Animation|Children
"Devil Inside, The",RVEN,Sigrid Ide,Horror|Thriller
Paradise Now,TTPH,Valry Donohoe,Crime|Drama|Thriller|War
Backwood Philosopher (Havukka-ahon ajattelija),HQH,Cazzie Roskams,Comedy|Drama
Bran Nue Dae,TRNS,Isiahi Alliberton,Comedy|Musical
Gung Ho,TDIV,Elsi Langston,Comedy|Drama
Getting It Right,MITT^A,Patricia Jesty,Comedy|Drama
Squirm,KDMN,Carolyne Janssen,Horror|Romance
"Butterfly, The (Papillon, Le)",SSFN,Ortensia Dieton,Comedy|Drama
Devil's Due,NI,Morie Boldison,Horror
"Ninth Configuration, The (a.k.a. Twinkle, Twinkle, Killer Kane)",FDS,Olimpia Fydoe,Drama|War
Good Boy!,OAK,Tandy Tarbath,Children|Comedy|Sci-Fi
Le crocodile du Botswanga,ZFGN,Lynnett Parnham,Comedy
"Play It Again, Sam",GRC,Devin Aubrey,Comedy|Romance
Eat,MEN,Heinrik Haquin,Documentary
Entre Amigos (Planta 4ª),BF.A,Timmy McGrath,Comedy|Drama
Innocence,OESX,Nelly Zannini,Drama
"Amor brujo, El (Love Bewitched, A)",LOXO,Arne Raulin,Drama|Musical
Forest (Rengeteg),CBD,Pincus Stadding,Drama
"Last Laugh, The (Letzte Mann, Der)",OFG^B,Inez Bankes,Drama
"Not on Your Life (Verdugo, El) (Executioner, The)",CLNE,Lavinie Pilgrim,Comedy|Drama
"Riddle of the Sands, The",CMA.WS,Hector Duncanson,Adventure|Drama|Thriller
Black River (Kuroi kawa),FRC^E,Devan Dysart,Drama
Sword of the Stranger (Sutorejia: Mukô hadan),CTRV,Amerigo Bellis,Action|Adventure|Animation
Daffy Duck's Quackbusters,LGF.A,Kassandra Hinnerk,Animation|Children|Comedy|Horror
Ganes,YECO,Jim Poter,Drama|Musical
"Midnight (Primeiro Dia, O)",BKE,Earlie Coopey,Drama
Another Year,MMP,Gabbie Pascow,Drama
Cambridge Spies,TLND,Ephrayim Dulieu,Drama
Spider-Man,HPE,Wayland Limmer,Action|Adventure|Sci-Fi|Thriller
Bear with Me,CXSE,Tiffanie Queste,Adventure
