Banderas,DavidGonzalez,000000,Romántico
Osiris,FranciscaPicazo,000001,Ilsutrado
La Torre,TeresaPerez,000002,Comic
El Sol,RubenRuiz,000003,Ilsutrado
El Sapote,MarioRomero,000004,Ficción
Los Robles,AntonioTovar,000005,Educación
The Imp,BeatrizCorcoles,000006,Comedia
El Hierofante,CarlosBallesteros,000007,Cuento
Thoth,VicenteRequena,000008,Cuento
Los Gozos,ElenaMarin,000009,Comedia
Fuerza,JulianCano,000010,Fábula
The Wyrm,IsabelMarin,000011,Educación
El Saxofón,PilarValero,000012,Cuento
Los Manglares,FranciscoValero,000013,Educación
Los Pinos,PedroMartinez,000014,Ilsutrado
El Milenio,FernandoFernandez,000015,Ilsutrado
La Marcha,ManuelMartinez,000016,Romántico
La Verdad,AngelesGarrido,000017,Comedia
Banderines,EnriqueMartinez,000018,Romántico
El Mago,JavierPardo,000019,Educación
El Dulce,PabloSerrano,000020,Ilsutrado
El Hierofante,LauraGil,000021,Educación
El Esférico,LuciaPicazo,000022,Fábula
Los Enamorados,RaulOrtega,000023,Comic
Ra,DavidPicazo,000024,Educación
The Deliverance,JesusBallesteros,000025,Educación
El Gozo,AliciaAlfaro,000026,Romántico
Mut,AlejandroCastillo,000027,Ficción
Los Aldeanos,AlbertoBlazquez,000028,Ilsutrado
La Verdad,DavidGomez,000029,Romántico
Justicia,JoaquinCano,000030,Ficción
Los Pinos,ElenaRodenas,000031,Ficción
Los Helechos,RaquelTovar,000032,Ilsutrado
El Diablito,RocioCano,000033,Educación
Harmonía,MariaDiaz,000034,Educación
La Estrella,AngelLozano,000035,Ilsutrado
The Vagrant,AngelaValero,000036,Cuento
El Loco,JorgeLopez,000037,Fábula
Harmonía,IrenePardo,000038,Fábula
El Ermitaño,AlbertoMoya,000039,Comic
Los Sapos,AndresGarrido,000040,Educación
Los Robles,LuisBallesteros,000041,Fábula
La Estrella,FranciscoCebrian,000042,Fábula
La Luna,RamonOrtega,000043,Comic
Bloques,JorgeMartinez,000044,Fábula
EL MUNDO,MercedesDiaz,000045,Ilsutrado
El Mago,CarlosCuenca,000046,Educación
El Bloque,AlfonsoMoreno,000047,Romántico
El Saxofón,AngelesPardo,000048,Ficción
La Estrella,JuanCano,000049,Ficción
Muerte,MarioCano,000050,Ilsutrado
The Piranhas,JorgePardo,000051,Comedia
El Canario,RaquelFernandez,000052,Ficción
La Rueda de la Fortuna,ManuelaTovar,000053,Cuento
La Nuez Dulce,JesusSerrano,000054,Ilsutrado
El Dulce,MartaRequena,000055,Educación
Bloques,FranciscaHernandez,000056,Romántico
La máquina,CarmenMolina,000057,Fábula
El Bloque,AngelesSanchez,000058,Romántico
Fuerza,VicenteCollado,000059,Comic
La Melodía,CarmenSaez,000060,Cuento
Los Abedules,JoaquinMoya,000061,Comic
El Emperador,LuciaHernandez,000062,Ficción
Amón,PaulaSaez,000063,Comic
The Stand,AliciaTovar,000064,Fábula
The Wyvern,PilarGarcia,000065,Cuento
EL MUNDO,JorgeTovar,000066,Ficción
The Dragon,MercedesRequena,000067,Comic
Obelisco,SantiagoCalero,000068,Cuento
El Loco,FernandoOrtega,000069,Comic
Las Acacias,JuliaOrtiz,000070,Comedia
El Diablo,MartaJimenez,000071,Comic
La Alegría,PilarMoya,000072,Educación
Muerte,SergioSerrano,000073,Comedia
La Luna,MariaJimenez,000074,Romántico
The March,AmparoRubio,000075,Ficción
El Carro,ElenaTorres,000076,Cuento
El Goloso,JuanRequena,000077,Ilsutrado
